"","HHID","PN","OPN_SP","OLB018A","OLB018B","OLB018C","OLB018D","OLB018E","OLB018F","OLB018G","OLB018H","OLB018I","OLB018J","OLB004A","OLB004B","OLB004C","OLB004D","OLB004E","OLB004F","OLB004G","OLB005","OLB005A","OLB005B","respondent_id","spouse_id"
"128",12588,20,10,4,2,2,4,4,4,4,4,2,3,1,1,1,4,4,4,4,1,1,1,12588020,12588010
"129",12596,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12596010,12596040
"130",12596,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12596040,12596010
"131",12682,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12682010,12682011
"132",12682,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12682011,12682010
"133",12695,20,30,3,5,5,6,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,2,12695020,12695030
"134",12695,30,20,3,6,6,6,3,1,6,1,1,1,1,1,1,2,2,3,3,1,1,2,12695030,12695020
"135",12738,10,20,2,6,6,1,6,6,5,5,5,5,2,3,1,3,NA,1,3,3,3,2,12738010,12738020
"136",12738,20,10,3,6,6,6,6,6,6,6,6,6,2,2,2,3,4,3,2,2,3,3,12738020,12738010
"137",12745,10,20,4,4,4,4,4,4,4,3,3,3,1,1,1,2,2,2,2,1,1,1,12745010,12745020
"138",12745,20,10,1,5,5,5,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,12745020,12745010
"139",12756,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12756010,12756011
"140",12756,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12756011,12756010
"141",12979,10,20,4,4,4,6,2,1,1,NA,1,1,1,1,1,1,2,4,3,1,2,2,12979010,12979020
"142",12979,20,10,NA,NA,1,1,1,5,NA,NA,1,5,1,1,NA,NA,3,4,3,1,1,1,12979020,12979010
"143",12981,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12981030,12981031
"144",12981,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12981031,12981030
"145",13140,10,40,1,6,5,6,2,1,2,1,2,1,1,1,1,3,4,3,3,1,2,1,13140010,13140040
"146",13140,40,10,3,2,3,6,1,1,1,1,2,1,1,1,1,4,3,4,4,1,1,1,13140040,13140010
"147",13189,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13189030,13189020
"148",13211,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13211010,13211020
"149",13211,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13211020,13211010
"150",13231,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13231010,13231020
"151",13231,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13231020,13231010
"152",13344,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13344010,13344040
